figi;quantity;current_price;currency;instrument_type;ticker;name
BBG004S68BH6;1.00000000;776.0;rub;share;PIKK;ПИК
BBG006L8G4H1;1.00000000;2460.4;rub;share;YNDX;Яндекс
BBG015PB0HH9;10.00000000;85.9;hkd;share;9866;NIO Inc
BBG004S68B31;50.00000000;75.98;rub;share;ALRS;АЛРОСА
BBG00Y91R9T3;1.00000000;2047.0;rub;share;OZON;Ozon Holdings PLC
BBG00178PGX3;1.00000000;624.8;rub;share;VKCO;VK
BBG00KVTBY91;100.00000000;11.04;hkd;share;1810;Xiaomi
BBG00F6NKQX3;1.00000000;3306.5;rub;share;SMLT;ГК Самолет
BBG004731489;1.00000000;15324.0;rub;share;GMKN;Норильский никель
BBG000BZ3PX4;100.00000000;9.82;hkd;share;175;Geely Automobile Holdings
BBG00QPYJ5H0;1.00000000;3401.0;rub;share;TCSG;TCS Group
BBG0100R9963;500.00000000;6.077;rub;share;SGZH;Сегежа
BBG000CYZ1K8;100.00000000;9.46;hkd;share;2333;Great Wall Motor
BBG004730RP0;10.00000000;170.38;rub;share;GAZP;Газпром
BBG00QV37ZP9;10.00000000;91.85;hkd;share;9988;Alibaba
BBG004RVFCY3;1.00000000;5508.5;rub;share;MGNT;Магнит
BBG00JXPFBN0;1.00000000;1660.5;rub;share;FIVE;X5 RetailGroup ГДР
